c_total,Cd,Pb,Mod1,Mod2,Mod3
200.0,200.0,0.0,1.8964983252551098,2.2085832936773286,1.6328048971854185
500.0,0.0,500.0,-0.5952939733970017,-0.7104044086453873,-1.5013312406317294
500.0,0.0,500.0,-0.57259701029626,-0.6107788441153111,-1.5108884560236648
500.0,0.0,500.0,-0.5541932558243622,-0.6159874835886678,-1.5213748451342606
500.0,100.0,400.0,1.1862575103420843,-0.47039360878579284,-1.4297516795192133
500.0,100.0,400.0,1.1220295080578866,-0.44666536229605686,-1.424027305716752
500.0,100.0,400.0,1.1406234046368893,-0.49825569612739923,-1.4078497275793613
500.0,200.0,300.0,1.312441817104541,-0.3464610600467187,-1.211727703390687
500.0,200.0,300.0,1.109960487996381,-0.2809810209530918,-1.1312712147873976
500.0,200.0,300.0,1.2724719446952104,-0.2942919884961145,-1.1893777569793382
500.0,300.0,200.0,1.091106396955024,-0.3496854559111776,-1.1872705237245191
500.0,300.0,200.0,1.0376764648585248,-0.3730003183157266,-1.2195261256723011
500.0,300.0,200.0,1.102745095405713,-0.38366562771355217,-1.1957160491316285
500.0,400.0,100.0,1.0439711693516318,0.05758054481509268,-1.0405440381153441
500.0,400.0,100.0,1.0439711693516318,0.16481237651261046,-0.8232501270514796
500.0,400.0,100.0,1.026107818763085,0.20243032826463095,-0.7639655253233804
500.0,500.0,0.0,1.0230355226114414,0.5347084559379724,0.4108253104321786
500.0,500.0,0.0,0.9196882836602245,0.46848432549100893,0.4567198551788684
500.0,500.0,0.0,0.9907714092795229,0.6602118642007574,0.9994070840400334
1000.0,0.0,1000.0,-0.5802827544150296,-0.5214052048978733,-1.4977472848597537
1000.0,0.0,1000.0,-0.5910908320820495,-0.5544759317128365,-1.4987096433540805
1000.0,0.0,1000.0,-0.5836252525083487,-0.5605940161736046,-1.4984939423122488
1000.0,200.0,800.0,0.6811500065573672,-0.507515499635589,-1.4898327158633071
1000.0,200.0,800.0,0.6811500065573672,-0.5001572629192597,-1.4860164666616664
1000.0,200.0,800.0,0.7313275078744392,-0.5001572629192597,-1.485750988456335
1000.0,400.0,600.0,0.6407097826199346,-0.4527007699397876,-1.393331388225293
1000.0,400.0,600.0,0.6106172923007412,-0.45724799487684503,-1.3720599470231032
1000.0,400.0,600.0,0.6439121760027553,-0.47039360878579284,-1.3739017020725908
1000.0,600.0,400.0,0.5972873298447501,-0.5506727981291157,-1.4072855863930318
1000.0,600.0,400.0,0.4394793884269385,-0.5371138001349809,-1.4116327920053358
1000.0,600.0,400.0,0.537342528710075,-0.5492672922394798,-1.3933977577766257
1000.0,800.0,200.0,0.5123638603240736,-0.3955710893669389,-0.9982666339162967
1000.0,800.0,200.0,0.5123638603240736,-0.35663030854231986,-1.0200856239169824
1000.0,800.0,200.0,0.5400645630854726,-0.41012220916552267,-0.9971881287071372
1000.0,1000.0,0.0,0.4645781465647958,0.21326099129653137,0.5490896782464106
1000.0,1000.0,0.0,0.3657342733081705,0.3802681617120949,0.49294103781879023
1000.0,1000.0,0.0,0.44501352449162557,0.2512923271337389,0.6563760579760188
2000.0,0.0,2000.0,-0.6673478245104676,-0.4379016196900916,-1.525821605073564
2000.0,0.0,2000.0,-0.6451712503344342,-0.4959407452503518,-1.530484066054699
2000.0,0.0,2000.0,-0.6435000012877746,-0.429055200267089,-1.531380054997693
2000.0,400.0,1600.0,0.3070103846506958,-0.4547676903657228,-1.5281611317580481
2000.0,400.0,1600.0,0.3070103846506958,-0.45112991041607686,-1.5377847167013163
2000.0,400.0,1600.0,0.2942208260780556,-0.47932270502583285,-1.531678717978691
2000.0,800.0,1200.0,0.1870006926294899,-0.5376098610372053,-1.4945117692322756
2000.0,800.0,1200.0,0.16650537497943738,-0.50875565189115,-1.499041491110745
2000.0,800.0,1200.0,0.17490165013002043,-0.5212398512637986,-1.4920063186694592
2000.0,1200.0,800.0,-0.24827462045109308,-0.5988733824619245,-1.52245335034342
2000.0,1200.0,800.0,-0.25533990085194125,-0.6065623264464033,-1.5153020311873018
2000.0,1200.0,800.0,-0.21066651316159243,-0.6000308579004481,-1.5010159852628984
2000.0,1600.0,400.0,-0.34627786544472794,-0.5052832255755789,-1.2848171717960264
2000.0,1600.0,400.0,-0.34627786544472794,-0.5059446401118781,-1.3004803859105871
2000.0,1600.0,400.0,-0.358967349224155,-0.49866908021258627,-1.2803040423053902
2000.0,2000.0,0.0,-0.44367065419976265,-0.20706794652164934,0.27113399726428955
2000.0,2000.0,0.0,-0.44525183593253037,-0.19028455266305558,0.21700962815232205
2000.0,2000.0,0.0,-0.4628850144966869,-0.20615850153423787,0.43249496894236544
5000.0,0.0,5000.0,-0.9262112921149149,-0.267835407044144,-1.5140907868754765
5000.0,0.0,5000.0,-0.9178550468816172,-0.3527444981415617,-1.5123651785408216
5000.0,0.0,5000.0,-0.906466535413961,-0.24080008787291168,-1.5264023386477268
5000.0,1000.0,4000.0,-0.8101945843429136,-0.25295357997741064,-1.5196492367996057
5000.0,1000.0,4000.0,-0.8101945843429136,-0.26295747483893694,-1.5255395344803993
5000.0,1000.0,4000.0,-0.7982756764712278,-0.3528271749585991,-1.5225363122825861
5000.0,2000.0,3000.0,-0.7782607178285984,-0.5175193944971153,-1.5449858130209344
5000.0,2000.0,3000.0,-0.7730268061435508,-0.5181808090334145,-1.5476737798499163
5000.0,2000.0,3000.0,-0.7672024531785456,-0.51545247407118,-1.5421485147014535
5000.0,3000.0,2000.0,-0.8934367973376093,-0.6345897674220845,-1.5793984253870352
5000.0,3000.0,2000.0,-0.8732917414638028,-0.6488101799525187,-1.5790499852425375
5000.0,3000.0,2000.0,-0.8661964386249907,-0.6440149245643491,-1.5791827243452032
5000.0,4000.0,1000.0,-0.8746127287342164,-0.6774990354644991,-1.4914421774831297
5000.0,4000.0,1000.0,-0.8746127287342164,-0.5841569090292659,-1.5151858844724693
5000.0,4000.0,1000.0,-0.8759537309632726,-0.6044954060204681,-1.5168451232557913
5000.0,5000.0,0.0,-0.8722409561350648,-0.349768132728215,0.4998102863817438
5000.0,5000.0,0.0,-0.8720207915899959,-0.3547287417504595,0.7773013805045348
5000.0,5000.0,0.0,-0.8652557355687871,-0.37341370240091365,0.7128399537724704
